Transaction_ID,Customer_ID,Account_Number,Transaction_Date,Transaction_Type,Transaction_Amount,Currency,Balance_After_Transaction,Branch_ID,Branch_Location,Merchant_ID,Merchant_Name,POS_Terminal_ID,Card_Type,Card_Number,Customer_Age,Customer_Income,Customer_Credit_Score,Loan_Status,Fraud_Flag,Transaction_Mode,Country,Regulatory_Compliance
T10000000,C93810,A1478163327,04031988,ATM Withdrawal,2731.38,,5154.12,B127,Mumbai,M9928,Merchant_54,POS4611,Debit,,69,130785,459,Active,No,Online,,Non-Compliant
T10000001,C57400,A3479708607,,ATM Withdrawal,408.16,INR,16848.1,B463,Berlin,M2169,Merchant_78,POS3803,Prepaid,3511873274417225,58,77570,357,Defaulted,Yes,Offline,UK,Non-Compliant
T10000002,C86484,A7010379415,06-07-1979  ,Withdrawal,772.68,GBP,12321.88,B357,Mumbai  ,M9797,Merchant_97,POS5371,Prepaid,30480275838470  ,80,66832,408,Active,Yes,Online,India,Non-Compliant
T10000003,C84364,A5067116918,1984-03-26,Online Purchase,3302.16,USD,9039.62,B652,Berlin,M7118,Merchant_57,POS9479,Debit,3574560498366825,32,,360,Defaulted  ,No,POS,USA,Non-Compliant  
T10000004,C56438,A7114223633,12/01/1988  ,Withdrawal,4309.75,USD,4486.27,B995,London,M2604,Merchant_7,POS9856,Credit,4422822562499177,49,125130,468,Not Applicable,No,ATM,India,
T10000005,C86569,A3281169403,1975-02-21  ,Withdrawal,1183.67,JPY,12768.25,B697,Mumbai,M4346,Merchant_86,POS6147,Credit,3500350584214694,77,,,Closed,No,Offline,USA,Compliant
T10000006,C96951,A4771526597,,Withdrawal,1415.96,EUR,6015.69,B966,,M7939,Merchant_36,POS1722,Credit,30576579282701,46,132115,,Closed,Yes  ,Online,Germany,Non-Compliant
T10000007,C41029,A4713453204,26-06-2007  ,Online Purchase,4321.68,EUR,,B581,Berlin,M6728,Merchant_40,POS4728,,30492852642787,,93170,821,Active,No,,USA,Non-Compliant
T10000008,C25157,A3476426797,,,4628.62,USD  ,12839.95,B227,Tokyo,M6344,Merchant_52,POS5844,Prepaid,2559364064075592,75,169187,300,Closed,No,POS,Germany,
T10000009,C40784,A8184602688,05-06-1983  ,Deposit,3844.76,JPY,10393.17,B771,London,M2746,Merchant_100,POS7965,Credit,2700039937512587  ,76,139658,775,Active,No,POS,Japan,Non-Compliant
T10000010,C92149,A6322520473,,Transfer,,USD,,B517,Tokyo,M4388,Merchant_54,POS7381,Prepaid  ,4532721223213414,37,129843,525,Active  ,No,POS,UK,Compliant
T10000011,C70515,A1780520225,2007/09/25,Transfer,1398.5,GBP  ,,B458,Berlin,M1659,Merchant_97,POS1508,Credit  ,4602367451563,25,77138,562,Closed,Yes,Offline  ,USA,Non-Compliant
T10000012,C87607,A3693985578,2019-03-17,ATM Withdrawal,4919.38,EUR,2310.18,B112,New York,M6934,Merchant_82,POS8532,Prepaid,2358859585235578,57,161078,776,Active,Yes,ATM,,Non-Compliant
T10000013,C43862,A6756711494,20221207,Withdrawal,1214.37,JPY,13272.16,B911,,M4630,Merchant_52,POS4986,Debit,4999070198634,65,112225,577,Closed,Yes,POS,Japan,Non-Compliant
T10000014,C48829,A6272000062,20-06-1985,Deposit,2771.26,USD,,B391,New York,M1841,Merchant_33,POS8827,Credit,,58,59774,,Closed,Yes,ATM,UK,Compliant
T10000015,C37659,A1348697524,,Withdrawal,3449.96,INR,14356.76,B803,Berlin,M4241,Merchant_55,POS2880,Prepaid,4571313363036732436,21,100638,595,Not Applicable,No,Online,Japan  ,Compliant
T10000016,C45325,A3474961963,05-03-2022,Transfer,3177.58,INR,7100.11,B264,Tokyo,M7561,Merchant_98,POS1601,,676113803420,67,154898,301,Not Applicable,No,ATM,USA,Non-Compliant
T10000017,C89806,A4433026356,,,2045.87,INR,16810.72,B833,Tokyo,M8905,Merchant_61,POS4993,Debit,180091028890052,74,38300,724,Active,No,ATM,UK,Non-Compliant
T10000018,C34727,A2644847276,,ATM Withdrawal,1912.34,USD  ,17524.31,B550,London,M3361,Merchant_53,POS3529,Credit,4266059627979476,,106131,846,Active,No  ,POS,Germany,Compliant
T10000019,C23173,A2905584866,11121997  ,,1798.73,USD,16057.87,B180,Mumbai,M4945,Merchant_64,POS3344,Credit,374770291580492  ,75,163287,752,Active,No,ATM,UK,
T10000020,C96275,A6994940029,2000-10-20,ATM Withdrawal,3728.41,EUR,16236.71,B294,Mumbai,M3240,Merchant_81,POS2591,Prepaid,3541002441740137,64,97361,725,Closed,No,POS,UK,Non-Compliant
T10000021,C19869,A5151086814,19072004,Online Purchase,,JPY,15231.22,B490,Tokyo,M1410,Merchant_80,POS6374,Prepaid  ,4084836846574125,44,31887,611,,Yes,ATM,UK,Non-Compliant
T10000022,C58566,A6228133486,08/02/2002,Withdrawal,4509.46,INR,3321.03,B565,London,M1349,Merchant_7,POS6464,Credit,4041839479114971396,53,76610,538,Closed,No,POS,India  ,Non-Compliant
T10000023,C52437,A1067779246,,ATM Withdrawal,327.15,EUR,10572.94,B144,Mumbai,M1510,Merchant_8,POS8847,Debit,6011999290621983,,179461,429,Active,No,Online,USA,Non-Compliant
T10000024,C69441,A7007500393,,Bill Payment,4768.43,,,B198,Tokyo,M6400,Merchant_86,POS3002,Debit,4781913906484,,95400,660,Closed,Yes,Online,UK,Compliant
T10000025,C45054,A1124352982,2019/04/14,Transfer,724.82,INR,1582.48,B320,New York,M7062,Merchant_40,POS6314,Prepaid,373653306801296,21,91330,734,Not Applicable,Yes,ATM,Germany,Compliant
T10000026,C27987,A8577013359,1974/08/09  ,Deposit,1158.25,,,B119,New York,M8033,Merchant_74,POS7626,Prepaid,3534713587613529,28,182037,,Defaulted,Yes,Offline,India,Compliant
T10000027,C94599,A4500557310,,Transfer,3803.47,USD,9815.11,B693,New York,M6295,Merchant_81,POS6179,Credit,3575905914257950,,,772,Defaulted,Yes,ATM,India,Compliant
T10000028,C29773,A5113386226,,Online Purchase,2527.7,USD,10957.3,B472,Tokyo,M6543,Merchant_87,POS1857,Prepaid  ,4685734297652,34,192114,453,Closed,No,Online,Japan,Compliant
T10000029,C57425,A5373266871,,Deposit,968.11,,17044.14,B889,Mumbai,M1618,Merchant_85,POS6517,Prepaid,6011426430955287,67,63395,344,Closed,No,ATM,USA,Non-Compliant
T10000030,C64874,A5150090143,24-08-1974  ,Withdrawal,2777.16,JPY,15499.22,B625,Berlin  ,M8391,Merchant_45,POS1436,,3557239737770599,23,27389,401,Active,No,POS,,
